unit_id,bcc_efficiency,ccr_efficiency,scale_efficiency,efficient_bcc
138,1.0,1.0,1.0,True
139,0.823204,0.727659,0.8839352092555428,False
140,0.976343,0.976343,1.0,False
141,1.0,0.705866,0.705866,True
142,0.762946,0.531992,0.6972865707402621,False
143,1.0,1.0,1.0,True
144,0.845021,0.695307,0.8228280717283949,False
145,0.819466,0.616942,0.7528585688729001,False
146,1.0,0.895006,0.895006,True
147,0.938184,0.818693,0.8726358582111824,False
148,1.0,1.0,1.0,True
149,1.0,0.950309,0.950309,True
150,0.892149,0.738835,0.828152023933222,False
151,1.0,1.0,1.0,True
152,0.881546,0.785152,0.890653465616088,False
153,0.957935,0.869665,0.9078538731751111,False
154,1.0,1.0,1.0,True
155,0.930472,0.75853,0.8152099149678873,False
156,0.942021,0.737754,0.7831608849484247,False
157,1.0,1.0,1.0,True
158,0.806395,0.5718,0.7090817775407834,False
159,0.959526,0.948702,0.9887194302186705,False
160,0.750126,0.729181,0.9720780242252635,False
161,0.798811,0.644661,0.8070256919346378,False
162,0.956753,0.940188,0.9826862314515868,False
163,1.0,1.0,1.0,True
164,1.0,1.0,1.0,True
165,0.908511,0.639688,0.7041059491849851,False
166,1.0,0.783739,0.783739,True
167,1.0,0.945163,0.945163,True
168,0.764236,0.494173,0.6466235560743016,False
169,0.926283,0.926283,1.0,False
170,0.90492,0.637686,0.7046877072006366,False
171,0.893135,0.791047,0.8856970110901486,False
172,0.867172,0.771061,0.8891673162878875,False
173,0.924654,0.890978,0.9635798904238776,False
174,1.0,1.0,1.0,True
175,1.0,1.0,1.0,True
176,1.0,1.0,1.0,True
177,0.877727,0.770715,0.8780805421275636,False
178,1.0,1.0,1.0,True
179,0.718189,0.526663,0.733320894639155,False
180,1.0,1.0,1.0,True
181,0.868742,0.696225,0.8014174519017153,False
182,1.0,1.0,1.0,True
183,0.824587,0.623475,0.7561057838651349,False
184,0.762937,0.568779,0.7455124079707761,False
185,0.924196,0.912116,0.9869291795246896,False
186,0.783546,0.438277,0.55935069542822,False
187,0.927048,0.797491,0.8602477973093087,False
188,1.0,0.977412,0.977412,True
189,1.0,0.803337,0.803337,True
190,0.788947,0.706926,0.8960373764017102,False
191,0.746523,0.664042,0.8895131161397573,False
192,0.890397,0.588185,0.6605873559771652,False
193,1.0,1.0,1.0,True
194,1.0,0.819913,0.819913,True
195,0.92362,0.906706,0.9816872739871376,False
196,0.904217,0.77971,0.8623040708148597,False
197,0.825779,0.63471,0.7686196912248918,False
198,0.950163,0.758953,0.7987608441919966,False
199,1.0,1.0,1.0,True
200,1.0,0.875473,0.875473,True
201,1.0,1.0,1.0,True
202,0.723016,0.709819,0.9817472918994877,False
203,1.0,1.0,1.0,True
204,0.810387,0.686853,0.8475617205113114,False
205,1.0,0.835212,0.835212,True
206,1.0,1.0,1.0,True
207,1.0,1.0,1.0,True
